bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2026 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,31724.53,31724.53,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1777833.83,1777833.83,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,9803.96,9803.96,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,49070.76,49070.76,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1664.26,1664.26,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,87074.58,87074.58,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,133331.29,133331.29,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,9788.36,9788.36,,,,,119,2026Q1,false
,2026 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31466.7,31466.7,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,721253.89,721253.89,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,7318.05,7318.05,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1331.4,1331.4,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,3802.13,3802.13,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2660.94,2660.94,,,,,119,2026Q1,false
,2026 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,10341.64,10341.64,,,,,119,2026Q1,false
