bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3721367.45,1833177.85,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,25858.72,16226.24,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,32594.72,17242.76,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5508.31,2095.21,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,96420.88,59548.5,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,211307.83,164164.03,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,20088.85,873,,,,,118,2024Q2,false
,2024 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,62548.75,23308.75,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1576578.21,822377.71,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,1371.54,1088.41,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,43501.44,24221.85,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,13.3,13.3,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4479.19,960.31,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,5357.38,3384.17,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,36672.26,30149.26,,,,,118,2024Q2,false
,2024 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,25984.39,25284.39,,,,,118,2024Q2,false
,2024 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3439315.86,1742608.24,,,,,118,2024Q2,false
