bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,145.76,18.6,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3232229.32,1627021.81,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,16826.42,4621.54,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,70889.02,50881.02,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,10940.86,3736.88,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,12412.88,7803,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,89072.34,18149.5,,,,,116,2020Q2,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,6597.47,2790,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1252391.41,636151.07,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,22,-5322.47,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,917.77,15.83,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,0,-19163.89,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,743.68,-3968.15,,,,,116,2020Q2,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,207.64,-5721.36,,,,,116,2020Q2,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2026500.61,1041975.01,,,,,116,2020Q2,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,63.31,0,,,,,116,2020Q2,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,41863.75,32323.11,,,,,116,2020Q2,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,10588.63,4484.16,,,,,116,2020Q2,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,48120.76,11307.88,,,,,116,2020Q2,false
