bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,64.19,64.19,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1527684.13,1527684.13,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,14416.29,14416.29,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,26056.39,26056.39,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5563.77,5563.77,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,56759,56759,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,110625.04,110625.04,,,,,116,2019Q1,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,10676.47,10676.47,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,497991.41,497991.41,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,7191.56,7191.56,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,75194.06,75194.06,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,6022.96,6022.96,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,2358.14,2358.14,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,841408.36,841408.36,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,338.41,338.41,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,9474.42,9474.42,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2623.81,2623.81,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,23317.27,23317.27,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34125.1,34125.1,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,9730.8,9730.8,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,447761.13,447761.13,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,554.48,554.48,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,3229.07,3229.07,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5282.75,5282.75,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,615,615,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34101.33,34101.33,,,,,116,2019Q1,false
,2019 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,24175.08,24175.08,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,420191.27,420191.27,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,7333.72,7333.72,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4042.77,4042.77,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,22452.39,22452.39,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,9360.84,9360.84,,,,,116,2019Q1,false
,2019 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,2981.77,2981.77,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,244380.94,244380.94,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,2070.33,2070.33,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,10627.99,10627.99,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,301.5,301.5,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,20617.85,20617.85,,,,,116,2019Q1,false
,2019 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,10145,10145,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,288437.21,288437.21,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,425.23,425.23,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,4541.38,4541.38,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1129.4,1129.4,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,12729.37,12729.37,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,31941.36,31941.36,,,,,116,2019Q1,false
,2019 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,6926,6926,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,33987852.06,17401279.66,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,SUPPLIES AND MATERIALS,106438.3,51438.3,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,99583.92,95638.92,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,97574.72,52257.23,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,1779.12,0,,,,,116,2019Q1,false
,FISCAL YEAR 2019 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,458922.18,271887.84,,,,,116,2019Q1,false
