bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1599221.96,1599221.96,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,43.25,43.25,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,23148.73,23148.73,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3444.02,3444.02,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,38257,38257,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,14548.37,14548.37,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,2884.74,2884.74,,,,,117,2021Q1,false
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,8000,8000,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,606439.66,606439.66,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,27.16,27.16,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,179.57,179.57,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4585,4585,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,11817.8,11817.8,,,,,117,2021Q1,false
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6000,6000,,,,,117,2021Q1,false
