bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2862926.4,1445231.03,,,,,115,2017Q2,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,2862.02,1451.13,,,,,115,2017Q2,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,716.63,0,,,,,115,2017Q2,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1555.95,262.25,,,,,115,2017Q2,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,76703.61,37884.43,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,898005.58,452683.34,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,31.99,0,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,343,245,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,12.9,0,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,2340,1755,,,,,115,2017Q2,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,22649.86,8071.33,,,,,115,2017Q2,false
,2017 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,1004.42,1004.42,,,,,115,2017Q2,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2709657.5,1411005.63,,,,,115,2017Q2,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,38944.04,23775.76,,,,,115,2017Q2,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,261.16,94.29,,,,,115,2017Q2,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2194.23,854.5,,,,,115,2017Q2,false
