bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,146.76,1,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6802662.25,1780629.03,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,17362.7,6.75,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,137215.51,30803.77,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,18302.36,370,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,25882.88,6735,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,238761.17,105197.24,,,,,116,2020Q4,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,58234.45,21763.2,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2846982.99,923221.47,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,2214.03,1692.26,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,331.3,109.3,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5379.12,9,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,285.14,285.14,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,7636.86,3769.64,,,,,116,2020Q4,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,856.3,633.83,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4281583.97,1200358.34,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,461.77,0,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,88493.03,19333.07,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,43013.47,25752.26,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,108825.76,30022.76,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,75069.61,25507.08,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,94853.81,12372,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,101433.33,25500,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,7933.33,0,,,,,116,2020Q4,false
,2020 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,134674.99,14250,,,,,116,2020Q4,false
