bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2018 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,OTHER SERVICES,362,0,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,563.13,430.06,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3868310.27,1174904.25,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,10209.92,3524.94,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,28208.32,19704.64,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2298.5,435.65,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,47894.55,23834.6,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,113213.72,32697.49,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,12092,7719,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,CONFERENCE SECRETARY,PERSONNEL COMPENSATION,49999.98,24999.99,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,NRCC,PERSONNEL COMPENSATION,49999.98,24999.99,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,CONFERENCE VICE CHAIR,PERSONNEL COMPENSATION,49999.98,24999.99,,,,,115,2018Q3,false
,2018 OFFICE OF THE SPEAKER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,75700.02,38300.01,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1532788.92,538608.88,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,4845.15,2638.38,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,20460.06,13192.7,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,304.99,90.29,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,27680,18630,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,35620.47,11888.44,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,9105.6,8829.2,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8821.05,0,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,FRANKED MAIL,6.78,1.63,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4261570.86,1448419.89,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,59498.18,30984.48,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,40968.08,30912.47,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,52446.78,22638.45,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,116686.37,61836.66,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,132257.42,33460.23,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,11823.05,10794.3,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1421296.42,528933.61,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,12465.35,4353.5,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,13842.78,10108.12,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2684.73,1243.8,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,35521.96,23396.96,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,7538.84,5148.15,,,,,115,2018Q3,false
,2018 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,10316.73,5120.73,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1625481.8,535658.46,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,3417.91,94.91,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,15575.82,11559.19,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2200,2120,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,138488.24,89750.27,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,5844.76,4692.82,,,,,115,2018Q3,false
,2018 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,1615.42,1029,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,983420.24,317430.58,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,5416.97,299.31,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,12436.23,7857.55,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,352.7,0,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,36732.74,21307.89,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,116131.86,31995.78,,,,,115,2018Q3,false
,2018 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,411,274,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,973410.07,328011.2,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,2928.14,760.84,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,11202.93,8361.39,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,21017.78,10555.01,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,96878.73,69849.83,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,116177.17,47377.12,,,,,115,2018Q3,false
,2018 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,27004.69,18038.04,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE LICENSES,EQUIPMENT,2730853.18,221520,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,63352808.16,16066099.78,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,PRINTING AND REPRODUCTION,134.6,0,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,SUPPLIES AND MATERIALS,376034.01,133568.57,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,TRADITIONAL FURNITURE,EQUIPMENT,226169.53,69257.18,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,159609.83,57385.38,,,,,115,2018Q3,false
,FISCAL YEAR 2018 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,35.03,0,,,,,115,2018Q3,false
