bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1733277.48,1733277.48,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,10120.43,10120.43,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,12250.67,12250.67,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2154.4,2154.4,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,30731.25,30731.25,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,123247.79,123247.79,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,22857.59,22857.59,,,,,119,2025Q1,false
,2025 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,30902.83,30902.83,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,752765.52,752765.52,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,298.74,298.74,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,7071.44,7071.44,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,720.2,720.2,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,2362.55,2362.55,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2230.22,2230.22,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,8569.12,8569.12,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,250,250,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1858593.65,1858593.65,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,33771.39,33771.39,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,3008.35,3008.35,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,136.43,136.43,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,12360.98,12360.98,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,178483.43,178483.43,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,17985.88,17985.88,,,,,119,2025Q1,false
,2025 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31066.67,31066.67,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,588990.52,588990.52,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,3396.8,3396.8,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,209.4,209.4,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,788.09,788.09,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,63236.44,63236.44,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,9676,9676,,,,,119,2025Q1,false
,2025 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,12950.01,12950.01,,,,,119,2025Q1,false
