bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3289407.79,1727400,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,42776.31,27499.33,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,25605.99,15962.03,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,60099.56,29224.13,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,71388.16,40077.6,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,138479.9,97889.16,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,130853.48,40525.77,,,,,118,2023Q2,false
,2023 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,45791.67,34600,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1568800.62,800100.03,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,6374.73,5878.93,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,39063.43,23240.36,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1125.8,260.1,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,44067.24,23817.24,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,16984.63,10720.6,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,24297.66,8064.72,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,19338.2,19338.2,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2943319.66,1531095.2,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,26656.14,22422.66,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,88201.68,56554.97,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4517,1340,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,75015.49,49354.95,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,273983.63,189608.6,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,80790.85,41446.53,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,38266.67,33733.33,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1106024.45,568275,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1138.85,1096.85,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,6181.04,3327.41,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5696.97,952.8,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,47070.46,26004.98,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,92301.67,55663.26,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,13961.57,4250,,,,,118,2023Q2,false
,2023 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6833.34,5606.67,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1007413.92,532405.06,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,22.71,0,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,7497.76,4849.94,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2809,2809,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,30750,15375,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,7784.86,2072.29,,,,,118,2023Q2,false
,2023 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11650,11650,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,883476.83,481113.91,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,12766.03,8505.53,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,13391.51,10292.28,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,7754.51,7754.51,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,33559.95,18039.68,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,111143.47,104199.27,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,13312.62,4861.16,,,,,118,2023Q2,false
,2023 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2215.4,2215.4,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,890152.5,443266.69,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,2015.08,977.53,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,17356.71,6494.17,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1881.53,863.01,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,36834.17,29964.07,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,111948.65,75731.33,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,10539.36,4379.56,,,,,118,2023Q2,false
,2023 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15226.66,6946.66,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,66114430.49,22465880.17,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,196479.24,106660.2,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,2626.61,2611.62,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,810044.54,303991.52,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,15102.02,4897.39,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,1929748.99,1157565.98,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,907197.33,440910.25,,,,,118,2023Q2,false
,FISCAL YEAR 2023 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,628761.68,164796.49,,,,,118,2023Q2,false
