bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2025 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,34893.99,139.88,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,7269735.45,1952435.78,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,44528.45,10052.65,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,115450.47,43268.12,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6262.02,149.5,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,293095.53,77658.07,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,538110.92,126647.22,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,32050.68,1461,,,,,119,2025Q4,false
,2025 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,92094.28,0,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3102743.25,850612.41,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,475.85,0,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,40842.85,11034.17,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1156.2,55.1,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,106843.73,33207.09,,,,,119,2025Q4,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10398.59,2925.76,,,,,119,2025Q4,false
