bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4983066.12,1693658.33,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,69220.45,26444.14,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,45036.56,19430.57,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,69914.88,9815.32,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,125947.8,54559.64,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,294009.69,155529.79,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,156688.25,25834.77,,,,,118,2023Q3,false
,2023 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,73325.01,27533.34,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2454181.21,885380.59,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,12606.81,6232.08,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,62684.13,23620.7,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1136.8,11,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,74511.34,30444.1,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,25820.07,8835.44,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,24588.5,290.84,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,36938.94,17600.74,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4500386.21,1557066.55,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,47291.95,20635.81,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,136145.68,47944,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5273.11,756.11,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,2350.4,-72665.09,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,340806.89,66823.26,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,32975.9,-47814.95,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,69279.99,31013.32,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1687040.57,581016.12,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1158.85,20,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,10210.33,4029.29,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6125.07,428.1,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,68705.44,21634.98,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,146183.06,53881.39,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,56303.93,42342.36,,,,,118,2023Q3,false
,2023 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15366.68,8533.34,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1856374.92,848961,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,8599.74,8577.03,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,12443.06,4945.3,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3299.26,490.26,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,49625,18875,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,13614.73,5829.87,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,26944.94,26944.94,,,,,118,2023Q3,false
,2023 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,42300,30650,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1445535.16,562058.33,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,15028.53,2262.5,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,19290.43,5898.92,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,11852.77,4098.26,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,51495.4,17935.45,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,192350.54,81207.07,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,24077.42,10764.8,,,,,118,2023Q3,false
,2023 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,15097.43,12882.03,,,,,118,2023Q3,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1400532.71,510380.21,,,,,118,2023Q3,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,2245.66,230.58,,,,,118,2023Q3,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,22874.92,5518.21,,,,,118,2023Q3,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5205.19,3323.66,,,,,118,2023Q3,false
