bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1437941.31,1437941.31,,,,,115,2018Q1,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,1781.93,1781.93,,,,,115,2018Q1,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,1597.1,1597.1,,,,,115,2018Q1,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,651.6,651.6,,,,,115,2018Q1,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,3662.62,3662.62,,,,,115,2018Q1,false
,2018 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,39406.88,39406.88,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,464422.25,464422.25,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,1642.12,1642.12,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,98,98,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,44.9,44.9,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,1170,1170,,,,,115,2018Q1,false
,2018 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,7094.2,7094.2,,,,,115,2018Q1,false
,2018 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1373538.3,1373538.3,,,,,115,2018Q1,false
