bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5772375.77,1456685.52,,,,,115,2017Q4,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,18104.26,5216.21,,,,,115,2017Q4,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,823,106.37,,,,,115,2017Q4,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1677.1,311,,,,,115,2017Q4,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,20,0,,,,,115,2017Q4,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,187311.96,53585.32,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1947338.94,535208.35,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,2691.37,2634.99,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,687,246,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,487.61,240.76,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,6850,2755,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,45104.53,9188.06,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8407.36,0,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5733192.6,1629123.12,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,76967.55,19398.73,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,877.01,277.55,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,42332.16,21991.91,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,85280,18256,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,141854.5,61834.53,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1718729.69,464130.79,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,21777.37,8241.74,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,75.93,45.98,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2663.88,13,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,634,0,,,,,115,2017Q4,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,11130.05,1691.18,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2221859.39,606610.15,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,97.99,0,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,129.54,104.55,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5887.87,901.34,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,806.39,221.77,,,,,115,2017Q4,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,2115.62,1401.77,,,,,115,2017Q4,false
,2017 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1217131.49,445916.26,,,,,115,2017Q4,false
,2017 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,7380.24,2518.69,,,,,115,2017Q4,false
,2017 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,1486.25,672.12,,,,,115,2017Q4,false
