bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,145.76,0,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,5022033.22,1789803.9,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,17355.95,529.53,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,106411.74,35522.72,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,17932.36,6991.5,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,19147.88,6735,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,133563.93,44491.59,,,,,116,2020Q3,false
,2020 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,36471.25,29873.78,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1923761.52,671370.11,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,521.77,521.77,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,222,200,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5370.12,4452.35,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3867.22,3123.54,,,,,116,2020Q3,false
,2020 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,222.47,14.83,,,,,116,2020Q3,false
