bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1417695.37,1417695.37,,,,,115,2017Q1,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,1410.89,1410.89,,,,,115,2017Q1,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,716.63,716.63,,,,,115,2017Q1,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1293.7,1293.7,,,,,115,2017Q1,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,38819.18,38819.18,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,445322.24,445322.24,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,31.99,31.99,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,98,98,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,12.9,12.9,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,585,585,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,14578.53,14578.53,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1298651.87,1298651.87,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,15168.28,15168.28,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,166.87,166.87,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1339.73,1339.73,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,15256,15256,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,34112.74,34112.74,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,396536.86,396536.86,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1158.2,1158.2,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,10,10,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,216.06,216.06,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,585,585,,,,,115,2017Q1,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,1671.8,1671.8,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,519218.66,519218.66,,,,,115,2017Q1,false
,2017 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,146.46,146.46,,,,,115,2017Q1,false
