bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2022 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,26379.95,1089.74,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,592.98,0,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,8028097.58,2410304.35,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,132923.43,54831.14,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,137102,30951.87,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,124995.83,26658.02,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,2546.15,0,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,232106.81,73476.48,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,29877.33,4487.43,,,,,117,2022Q4,false
,2022 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,55024,11624,,,,,117,2022Q4,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3391898.25,1096156.03,,,,,117,2022Q4,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,2192.4,1091.95,,,,,117,2022Q4,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,30.87,0,,,,,117,2022Q4,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,531.8,149,,,,,117,2022Q4,false
