bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2021 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,22673.79,0,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,7093262.77,2012028.47,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,31907.08,16318.24,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,129800.75,32743.96,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,30642.59,8026.49,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,155263.24,38624.24,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,166916.4,51820.84,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,87870.94,24507.27,,,,,117,2021Q4,false
,2021 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,47166.01,22123.01,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2863062.59,888615.96,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,1269.27,474.48,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,788.13,0,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4888.1,1200,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4585,0,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,13968.46,481.69,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,34953.36,7200,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4816617.25,1420916.67,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,14079.05,440.37,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,47121.04,8490.36,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,19848.41,470,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,107027.13,18495.2,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,112370.25,32489.28,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,93428.07,18372,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,80683.33,26250,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,67533.34,11500,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1647280.7,415126.41,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,17185.64,5101.37,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3482.31,2251.81,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,62671.94,7182,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,93017.67,45262.39,,,,,117,2021Q4,false
,2021 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,25582.83,1477,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,FRANKED MAIL,186.15,0,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1888268.04,488216.88,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,12011.33,634.19,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,49000.67,17504.66,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6851.88,244.6,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,100752.68,25731.6,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,20570.13,5720.68,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,13612.75,9537.46,,,,,117,2021Q4,false
,2021 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11866.63,7699.98,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1681204.03,489119.78,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,17362.6,9261.53,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,94643.34,20247.59,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,920.8,237,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,68845.78,8139.46,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,284251.56,122038.82,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,49998.99,6338.88,,,,,117,2021Q4,false
,2021 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,35989.53,12946.67,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1599566.99,458515.12,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,80,48,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,49473.43,7472.46,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,16660.15,6406.65,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,29398.71,15588.67,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,97201.83,46057.97,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,58839.19,24864.78,,,,,117,2021Q4,false
,2021 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,6386.66,2333.33,,,,,117,2021Q4,false
,FISCAL YEAR 2022 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,19209245.91,19209245.91,,,,,117,2021Q4,false
,FISCAL YEAR 2022 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,15354.76,15354.76,,,,,117,2021Q4,false
