bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6213412.62,1230346.5,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,69268.83,48.38,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,60728.06,15691.5,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,78170.18,8255.3,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,156573.53,30625.73,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,361370.2,67360.51,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,164352.27,7664.02,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,81658.34,8333.33,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,4736.48,4736.48,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1470673.39,1470673.39,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,4541.67,4541.67,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,6644.86,6644.86,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,7799,7799,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,2478,2478,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,91174.08,91174.08,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,41444.27,41444.27,,,,,118,2023Q4,false
,2023 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,17050,17050,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3174270.11,720088.9,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,13793.95,1187.14,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,86946.21,24262.08,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1136.8,0,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,99044.43,24533.09,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,30245.85,4425.78,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,30855.97,6267.47,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,36938.94,0,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6553088.83,2052702.62,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,77022.01,29730.06,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,164646.66,28500.98,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6496.14,1223.03,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,37986.65,35636.25,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,452115.19,111308.3,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,106340.87,73364.97,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,107693.32,38413.33,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2413094.68,726054.11,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,1158.85,0,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,14337.71,4127.38,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,7849.57,1724.5,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,95210.42,26504.98,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,189597.72,43414.66,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,62056.93,5753,,,,,118,2023Q4,false
,2023 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,21433.35,6066.67,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2492341.57,635966.65,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,9280.87,681.13,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,18045.42,5602.36,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,3322.26,23,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,75500,25875,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,21696.3,8081.57,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,27612.35,667.41,,,,,118,2023Q4,false
,2023 OFFICE OF THE MINORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,61900,19600,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2072515.79,626980.63,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,TRAVEL,19554.98,4526.45,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,26961.41,7670.98,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,11873.47,20.7,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,OTHER SERVICES,71421.1,19925.7,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,350846.23,158495.69,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,GENERAL EXPENDITURES,EQUIPMENT,25547.42,1470,,,,,118,2023Q4,false
,2023 DEMOCRATIC CAUCUS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,38091.09,22993.66,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1906846.67,506313.96,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,TRAVEL,2265.66,20,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,36213.74,13338.82,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,12801.19,7596,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,OTHER SERVICES,172475.16,89751.24,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,363698.84,206153.64,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,GENERAL EXPENDITURES,EQUIPMENT,33971.33,5049.86,,,,,118,2023Q4,false
,2023 REPUBLICAN CONFERENCE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,31193.33,9000.01,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SALARIES OFFICERS & EMPLOYEES,PERSONNEL COMPENSATION,22260626.41,22260626.41,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NEW MEMBER FURNITURE PROGRAM,TRANSPORTATION OF THINGS,595,595,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRAVEL,66889.13,66889.13,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,TRANSPORTATION OF THINGS,267.3,267.3,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,RENT COMMUNICATION UTILITIES,198878.93,198878.93,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,PRINTING AND REPRODUCTION,715.51,715.51,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,OTHER SERVICES,160239.93,160239.93,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,SUPPLIES AND MATERIALS,59386.33,59386.33,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ADMIN AND OPS,EQUIPMENT,152014.1,152014.1,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,OTHER SERVICES,750,750,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CHILD CARE CENTER TRAINING,SUPPLIES AND MATERIALS,148.37,148.37,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,AOC MAIL IPAC,OTHER SERVICES,142913.1,142913.1,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,TRAVEL,1289.77,1289.77,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,OTHER SERVICES,3847.4,3847.4,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAO SAFETY PROGRAM,SUPPLIES AND MATERIALS,348,348,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,TRAVEL,4266.12,4266.12,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,SUPPLIES AND MATERIALS,444.71,444.71,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CONGRESSIONAL STAFF ACADEMY,EQUIPMENT,8193.28,8193.28,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WEB SOLUTIONS,OTHER SERVICES,63712.62,63712.62,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,PEOPLESOFT FINANCIALS,OTHER SERVICES,70144.14,70144.14,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,REMEDY/CTS ACTIVITY,OTHER SERVICES,23200,23200,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE TECHNOLOGY SYSTEMS,OTHER SERVICES,720929.15,720929.15,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ENTERPRISE INFRASTRUCTURE TECH,EQUIPMENT,27768,27768,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CYBERSECURITY OTKA PROJECT,OTHER SERVICES,582386.4,582386.4,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,ASSET OPERATIONS,EQUIPMENT,69327.94,69327.94,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,SUPPLIES AND MATERIALS,135,135,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,IDENTITY ACCESS MANAGEMENT,EQUIPMENT,249480,249480,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CABINET & FINISHING SERVICES,SUPPLIES AND MATERIALS,44777.36,44777.36,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,TRAVEL,2786.82,2786.82,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HRS FIELD HEARING,TRANSPORTATION OF THINGS,863.57,863.57,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELEPHONE OPERATORS,OTHER SERVICES,242500,242500,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,SUPPORT SYSTEMS OPERATIONS,OTHER SERVICES,13862.4,13862.4,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,FURNITURE AND REFURBISHMENT,EQUIPMENT,406318.7,406318.7,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,RENT COMMUNICATION UTILITIES,24.51,24.51,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,OTHER SERVICES,1250,1250,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,HOUSE WELLNESS PROGRAM,SUPPLIES AND MATERIALS,4128.25,4128.25,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,RENT COMMUNICATION UTILITIES,40533.23,40533.23,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,OTHER SERVICES,28044.17,28044.17,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,SUPPLIES AND MATERIALS,329.4,329.4,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,TELECOMMUNICATIONS,EQUIPMENT,109112.9,109112.9,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,OTHER SERVICES,32525.46,32525.46,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,SUPPLIES AND MATERIALS,2632.5,2632.5,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,NETWORK SERVICES,EQUIPMENT,70186.22,70186.22,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,WIDE AREA NETWORK,RENT COMMUNICATION UTILITIES,181241.24,181241.24,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,OTHER SERVICES,47034.76,47034.76,,,,,118,2023Q4,false
,FISCAL YEAR 2024 CHIEF ADMIN OFCR OF THE HOUSE,CAMPUS NETWORKING,EQUIPMENT,24102.74,24102.74,,,,,118,2023Q4,false
