bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2016 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,380,380,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1400132.67,1400132.67,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,47.27,47.27,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,102.65,102.65,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,802.2,802.2,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,2576.71,2576.71,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,26335.54,26335.54,,,,,114,2016Q1,false
,2016 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,115.54,115.54,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,486150,486150,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,853.31,853.31,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,4828.61,4828.61,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1329027.64,1329027.64,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,10875.1,10875.1,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,201.53,201.53,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,864.38,864.38,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,15256,15256,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,16318.41,16318.41,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,429744.62,429744.62,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,634.06,634.06,,,,,114,2016Q1,false
,2016 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10316.78,10316.78,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,537888.66,537888.66,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,242.74,242.74,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,16.5,16.5,,,,,114,2016Q1,false
,2016 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,74.01,74.01,,,,,114,2016Q1,false
