bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2025 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,34754.11,34754.11,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3493921.86,1760644.38,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,21238.52,11118.09,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,44390.66,32139.99,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,4752.5,2598.1,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,138842.21,108110.96,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,272266.22,149018.43,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,28765.68,5908.09,,,,,119,2025Q2,false
,2025 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,67734.28,36831.45,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1472437.76,719672.24,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,475.85,177.11,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,18570.48,11499.04,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,726.2,6,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,49041.34,46678.79,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,4331.01,2100.79,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,34607.79,26038.67,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,26366.75,26116.75,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3782146.55,1923552.9,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,124799.48,91028.09,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,9167.72,6159.37,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,19494.69,19358.26,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,89515.55,77154.57,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,371058.75,192575.32,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,45133.37,27147.49,,,,,119,2025Q2,false
,2025 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,56000.02,24933.35,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1199165.49,610174.97,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,3899.4,3899.4,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,8684.32,5287.52,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1375.4,1166,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,34521.61,33733.52,,,,,119,2025Q2,false
,2025 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,151735.7,88499.26,,,,,119,2025Q2,false
