bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,659.11,387.52,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,6453328.92,1740243.8,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,98770.05,27845.35,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,118530.68,29361.65,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,56948.74,19307.92,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,169902.75,37251,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,269390.05,39774.32,,,,,116,2019Q4,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,31347.97,3287.5,,,,,116,2019Q4,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2411789.83,857105.43,,,,,116,2019Q4,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,135.21,135.21,,,,,116,2019Q4,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,33703.22,9609.45,,,,,116,2019Q4,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,5043.1,3261.5,,,,,116,2019Q4,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,297230.59,66820.26,,,,,116,2019Q4,false
