bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4315690.25,1452763.85,,,,,115,2017Q3,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,12888.05,10026.03,,,,,115,2017Q3,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,716.63,0,,,,,115,2017Q3,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,1366.1,-189.85,,,,,115,2017Q3,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,20,20,,,,,115,2017Q3,false
,2017 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,133726.64,57023.03,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1412130.59,514125.01,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,56.38,24.39,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,441,98,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,246.85,233.95,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,4095,1755,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,35916.47,13266.61,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,8407.36,7402.94,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,4104069.48,1394411.98,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,57568.82,18624.78,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,599.46,338.3,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,20340.25,18146.02,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,67024,25884,,,,,115,2017Q3,false
,2017 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,80019.97,25156.83,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1254598.9,449445.22,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,13535.63,7450.58,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,29.95,19.95,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,2650.88,314.49,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,634,0,,,,,115,2017Q3,false
,2017 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,9438.87,6188.92,,,,,115,2017Q3,false
