bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,226,161.81,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3159339.39,1631655.26,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,49097.18,34680.89,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,54979.78,28923.39,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,17550.23,11986.46,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,94867.5,38108.5,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,200775.4,90150.36,,,,,116,2019Q2,false
,2019 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,18003.47,7327,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1009247.76,511256.35,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,14894.75,7703.19,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,16,16,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,126167.19,50973.13,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,10636.87,4613.91,,,,,116,2019Q2,false
,2019 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,3387.14,1029,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1686983.36,845575,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,404.3,65.89,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,18744.64,9270.22,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,6586.46,3962.65,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,45014.7,21697.43,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,52392.73,18267.63,,,,,116,2019Q2,false
,2019 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,28877.86,19147.06,,,,,116,2019Q2,false
