bioguide_id,organization,program,description,ytd_amount,qtd_amount,member_name,party,state,district,congress,quarter_label,is_member
,2022 OFFICE OF THE SPEAKER,OFFICIAL EXPENSES - LEADERSHIP,SUPPLIES AND MATERIALS,3093.51,3093.51,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,FRANKED MAIL,592.98,160.26,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,3790853.45,2065959.5,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,TRAVEL,56463.69,50461.68,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,73355.15,42631.7,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,52973.94,32576.34,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,OTHER SERVICES,2546.15,1856.03,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,108561.7,59401.29,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,GENERAL EXPENDITURES,EQUIPMENT,16204.26,13177.26,,,,,117,2022Q2,false
,2022 OFFICE OF THE SPEAKER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,28176,12744,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,1489732.99,797888.01,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,TRAVEL,427.14,427.14,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,30.87,10.87,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,259.2,259.2,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,3538.68,1168.68,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,3038.02,2904.32,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,11724.88,4981.11,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,2574509.43,1303408.32,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,TRAVEL,19325.12,16423.06,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,16966.29,10872.84,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,377,258,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,OTHER SERVICES,35789.36,16864.29,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,37567.14,22481.26,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,GENERAL EXPENDITURES,EQUIPMENT,52229.98,26568.56,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,REPUBLICAN POLICY COMMITTEE,PERSONNEL COMPENSATION,37083.33,18750,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY LEADER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,20366.67,15266.67,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,873906.88,449111.07,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,TRAVEL,4559.65,4184.59,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,8881.54,5193.58,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,73.3,33.7,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,14715.78,7533.78,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,63962.93,40850.45,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,12245.04,2232.2,,,,,117,2022Q2,false
,2022 OFFICE OF THE MAJORITY WHIP,INTERN ALLOWANCES,PERSONNEL COMPENSATION,2566.67,2566.67,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PERSONNEL COMPENSATION,968140.9,532264.59,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,TRAVEL,6557.45,6557.45,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,RENT COMMUNICATION UTILITIES,27258.84,16103.77,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,PRINTING AND REPRODUCTION,41.5,33,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,OTHER SERVICES,9684.11,2699.53,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,SUPPLIES AND MATERIALS,6970.63,3242.07,,,,,117,2022Q2,false
,2022 OFFICE OF THE MINORITY WHIP,GENERAL EXPENDITURES,EQUIPMENT,6992.49,3619.89,,,,,117,2022Q2,false
